2015-07-29 17:30:25 : Time=111997 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:26 : Time=113017 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:27 : Time=114032 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:28 : Time=115039 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:29 : Time=116057 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:30 : Time=117066 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:31 : Time=118075 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:32 : Time=119092 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:33 : Time=120098 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:34 : Time=121118 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:35 : Time=122129 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:36 : Time=123141 X=-14393.806640625 Y=12957.42578125
2015-07-29 17:30:37 : Time=124147 X=-14186.771484375 Y=13006.357421875
2015-07-29 17:30:38 : Time=125164 X=-14367.046875 Y=12963.75
2015-07-29 17:30:39 : Time=126176 X=-14367.046875 Y=12963.75
2015-07-29 17:30:40 : Time=127192 X=-14367.046875 Y=12963.75
2015-07-29 17:30:41 : Time=128204 X=-14343.4443359375 Y=13101.1376953125
2015-07-29 17:30:42 : Time=129215 X=-14211.6953125 Y=13229.8134765625
2015-07-29 17:30:43 : Time=130211 X=-14290.6494140625 Y=13342.76171875
2015-07-29 17:30:44 : Time=131204 X=-14333.3837890625 Y=13396.2314453125
2015-07-29 17:30:45 : Time=132225 X=-14333.3837890625 Y=13396.2314453125
2015-07-29 17:30:46 : Time=133247 X=-14333.3837890625 Y=13396.2314453125
2015-07-29 17:30:47 : Time=134257 X=-14333.3837890625 Y=13396.2314453125
2015-07-29 17:30:48 : Time=135276 X=-14333.3837890625 Y=13396.2314453125
2015-07-29 17:30:49 : Time=136297 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:50 : Time=137300 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:51 : Time=138309 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:52 : Time=139335 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:53 : Time=140349 X=-14601.49609375 Y=14218.1357421875
